Autore;Titolo;;Data
CAGLIERO Giorgio;Meccanica, macchine ed energia;;1
CIABATTI Nello-DI CAPUA Umberto-DI COSTANZO Gennaro;L'arte dell'ospitalità;;2
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;3
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;4
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;5
BAROZZI Graziella-BERGAMINI Massimo;Matematica.in3passi;;6
DELL'ORO Aldo;Art. 343-389;;7
GALGANO Francesco-SBISÀ Giuseppe;ART. 2497-2497 septies;;8
RODATO Silvano;Alimentazione & territorio;;9
BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina;Matematica in cucina, in sala, in albergo;;10
BAROZZI Graziella-BERGAMINI Massimo-CANNAS Anna-CERNEAZ Sabrina;Matematica in cucina, in sala, in albergo;;11
BREEDLOVE S. Mark-WATSON Neil V.;Il cervello e la mente;;12
CERA Mario-DI VALENTIN Simona;Gli investimenti finanziari. Imprese e servizi;;13
CONTESSA Gian Marco-MARZO Giuseppe Augusto;Fisica applicata alle scienze mediche;;14
GIUSTI Francesco-SANTOCHI Marco;Tecnologia meccanica;;15
AMALDI Ugo;L'Amaldi.bianco;;16
AMALDI Ugo;L'Amaldi.bianco;;17
COX Michael M-MELLONI Edon-NELSON David L;I principi di biochimica di Lehninger;;18
CUCCIOLI MELLONI Rita;Itinera compone;;19
RONCHETTI Paolo;Lezioni di diritto ed economia;;20
CAPPA Stefano-DENES Gianfranco-GROSSI Dario-GUARIGLIA Cecilia-LUZZATTI Claudio Giuseppe-PIZZAMIGLIO Luigi;Manuale di neuropsicologia;;21
GUARNIERI Carlo-LIEBERMAN Michael-MARKS Allan;Marks biochimica medica;;22
LUPIA PALMIERI Elvidio-PAROTTO Maurizio;Il Globo terrestre e la sua evoluzione;;23
SCHLUTER Dolph-WHITLOCK Michael C.;Analisi statistica dei dati biologici;;24
MATASSI Carla-MENCHETTI Marzia;New Totally Connected;;25
CORBELLINI Giancarlo;Guida all'orientamento;;26
